      a          H  rho/3H^2 -1   P_f/E_f    K_f/E_f    G_f/E_f            mean_fields            rms_fields
   1.00000  0.122E-03  0.222E-15  0.509      0.491      0.142E-11   1.71      0.418E-23  0.236E-06  0.171E-06
   1.02952  0.117E-03 -0.312E-13  0.493      0.507      0.145E-11   1.66      0.310E-16  0.235E-06  0.171E-06
   1.05945  0.112E-03 -0.641E-13  0.477      0.523      0.143E-11   1.61      0.116E-15  0.232E-06  0.165E-06
   1.08974  0.107E-03 -0.137E-12  0.459      0.541      0.137E-11   1.56      0.219E-15  0.226E-06  0.156E-06
   1.12036  0.102E-03 -0.162E-12  0.442      0.558      0.130E-11   1.51      0.290E-15  0.218E-06  0.149E-06
   1.15125  0.973E-04 -0.186E-12  0.423      0.577      0.126E-11   1.46      0.295E-15  0.208E-06  0.146E-06
   1.18237  0.928E-04 -0.253E-12  0.405      0.595      0.124E-11   1.41      0.234E-15  0.199E-06  0.147E-06
   1.21366  0.885E-04 -0.264E-12  0.385      0.615      0.123E-11   1.36      0.136E-15  0.192E-06  0.146E-06
   1.24508  0.844E-04 -0.270E-12  0.366      0.634      0.122E-11   1.31      0.408E-16  0.186E-06  0.142E-06
   1.27658  0.804E-04 -0.284E-12  0.346      0.654      0.121E-11   1.26     -0.268E-16  0.182E-06  0.136E-06
   1.30811  0.766E-04 -0.307E-12  0.326      0.674      0.123E-11   1.22     -0.686E-16  0.179E-06  0.131E-06
   1.33962  0.729E-04 -0.385E-12  0.306      0.694      0.127E-11   1.17     -0.104E-15  0.177E-06  0.130E-06
   1.37107  0.695E-04 -0.359E-12  0.285      0.715      0.130E-11   1.12     -0.148E-15  0.173E-06  0.130E-06
   1.40241  0.661E-04 -0.397E-12  0.265      0.735      0.132E-11   1.07     -0.198E-15  0.170E-06  0.130E-06
   1.43362  0.629E-04 -0.423E-12  0.245      0.755      0.132E-11   1.03     -0.233E-15  0.166E-06  0.127E-06
   1.46464  0.599E-04 -0.472E-12  0.225      0.775      0.132E-11  0.981     -0.229E-15  0.162E-06  0.124E-06
   1.49545  0.571E-04 -0.480E-12  0.206      0.794      0.134E-11  0.936     -0.178E-15  0.158E-06  0.121E-06
   1.52602  0.543E-04 -0.503E-12  0.187      0.813      0.138E-11  0.891     -0.952E-16  0.155E-06  0.119E-06
   1.55633  0.518E-04 -0.499E-12  0.168      0.832      0.143E-11  0.847     -0.948E-17  0.152E-06  0.119E-06
   1.58634  0.493E-04 -0.541E-12  0.150      0.850      0.149E-11  0.805      0.506E-16  0.149E-06  0.119E-06
   1.61605  0.470E-04 -0.537E-12  0.133      0.867      0.153E-11  0.762      0.721E-16  0.147E-06  0.119E-06
   1.64543  0.449E-04 -0.559E-12  0.117      0.883      0.157E-11  0.721      0.611E-16  0.144E-06  0.117E-06
   1.67448  0.428E-04 -0.593E-12  0.102      0.898      0.161E-11  0.681      0.344E-16  0.142E-06  0.116E-06
   1.70318  0.409E-04 -0.598E-12  0.883E-01  0.912      0.166E-11  0.641      0.881E-17  0.140E-06  0.115E-06
   1.73153  0.391E-04 -0.677E-12  0.754E-01  0.925      0.172E-11  0.602     -0.774E-17  0.138E-06  0.114E-06
   1.75953  0.374E-04 -0.719E-12  0.636E-01  0.936      0.179E-11  0.564     -0.166E-16  0.136E-06  0.114E-06
   1.78717  0.357E-04 -0.717E-12  0.529E-01  0.947      0.186E-11  0.527     -0.239E-16  0.134E-06  0.114E-06
   1.81445  0.342E-04 -0.795E-12  0.434E-01  0.957      0.193E-11  0.491     -0.345E-16  0.132E-06  0.114E-06
   1.84139  0.328E-04 -0.857E-12  0.350E-01  0.965      0.200E-11  0.456     -0.488E-16  0.130E-06  0.113E-06
   1.86797  0.315E-04 -0.861E-12  0.278E-01  0.972      0.207E-11  0.421     -0.637E-16  0.128E-06  0.113E-06
   1.89422  0.302E-04 -0.913E-12  0.216E-01  0.978      0.214E-11  0.387     -0.750E-16  0.127E-06  0.113E-06
   1.92012  0.290E-04 -0.922E-12  0.164E-01  0.984      0.222E-11  0.355     -0.806E-16  0.125E-06  0.113E-06
   1.94570  0.279E-04 -0.932E-12  0.121E-01  0.988      0.230E-11  0.322     -0.814E-16  0.124E-06  0.113E-06
   1.97096  0.269E-04 -0.993E-12  0.867E-02  0.991      0.239E-11  0.291     -0.800E-16  0.122E-06  0.113E-06
   1.99591  0.259E-04 -0.102E-11  0.598E-02  0.994      0.247E-11  0.260     -0.790E-16  0.121E-06  0.113E-06
   2.02056  0.249E-04 -0.106E-11  0.395E-02  0.996      0.255E-11  0.230     -0.801E-16  0.119E-06  0.112E-06
   2.04491  0.241E-04 -0.108E-11  0.246E-02  0.998      0.264E-11  0.201     -0.831E-16  0.118E-06  0.112E-06
   2.06898  0.232E-04 -0.114E-11  0.143E-02  0.999      0.272E-11  0.172     -0.873E-16  0.117E-06  0.112E-06
   2.09277  0.225E-04 -0.118E-11  0.751E-03  0.999      0.281E-11  0.144     -0.918E-16  0.116E-06  0.112E-06
   2.11630  0.217E-04 -0.118E-11  0.346E-03   1.00      0.289E-11  0.117     -0.963E-16  0.114E-06  0.112E-06
   2.13956  0.210E-04 -0.124E-11  0.131E-03   1.00      0.297E-11  0.901E-01 -0.101E-15  0.113E-06  0.112E-06
   2.16258  0.204E-04 -0.124E-11  0.353E-04   1.00      0.305E-11  0.639E-01 -0.107E-15  0.112E-06  0.112E-06
   2.18536  0.197E-04 -0.128E-11  0.482E-05   1.00      0.312E-11  0.383E-01 -0.113E-15  0.111E-06  0.111E-06
   2.20789  0.191E-04 -0.132E-11  0.713E-07   1.00      0.319E-11  0.131E-01 -0.121E-15  0.109E-06  0.110E-06
   2.23021  0.186E-04 -0.139E-11  0.442E-07   1.00      0.325E-11 -0.115E-01 -0.128E-15  0.108E-06  0.110E-06
   2.25230  0.180E-04 -0.143E-11  0.434E-05   1.00      0.331E-11 -0.356E-01 -0.135E-15  0.107E-06  0.109E-06
   2.27417  0.175E-04 -0.148E-11  0.353E-04   1.00      0.337E-11 -0.593E-01 -0.141E-15  0.106E-06  0.107E-06
   2.29584  0.170E-04 -0.151E-11  0.140E-03   1.00      0.343E-11 -0.825E-01 -0.147E-15  0.105E-06  0.106E-06
   2.31731  0.165E-04 -0.154E-11  0.393E-03   1.00      0.348E-11 -0.105     -0.154E-15  0.105E-06  0.105E-06
   2.33858  0.161E-04 -0.158E-11  0.897E-03  0.999      0.353E-11 -0.128     -0.161E-15  0.104E-06  0.103E-06
   2.35965  0.157E-04 -0.162E-11  0.179E-02  0.998      0.357E-11 -0.150     -0.168E-15  0.103E-06  0.102E-06
   2.38054  0.153E-04 -0.168E-11  0.323E-02  0.997      0.360E-11 -0.171     -0.176E-15  0.102E-06  0.995E-07
   2.40126  0.149E-04 -0.173E-11  0.542E-02  0.995      0.362E-11 -0.192     -0.184E-15  0.101E-06  0.972E-07
   2.42179  0.145E-04 -0.176E-11  0.859E-02  0.991      0.363E-11 -0.213     -0.188E-15  0.999E-07  0.947E-07
   2.44216  0.141E-04 -0.184E-11  0.130E-01  0.987      0.365E-11 -0.234     -0.188E-15  0.990E-07  0.922E-07
   2.46237  0.138E-04 -0.188E-11  0.190E-01  0.981      0.367E-11 -0.254     -0.181E-15  0.981E-07  0.897E-07
   2.48242  0.135E-04 -0.192E-11  0.268E-01  0.973      0.369E-11 -0.273     -0.165E-15  0.973E-07  0.875E-07
   2.50233  0.132E-04 -0.193E-11  0.369E-01  0.963      0.371E-11 -0.293     -0.141E-15  0.964E-07  0.854E-07
   2.52209  0.129E-04 -0.196E-11  0.496E-01  0.950      0.373E-11 -0.311     -0.111E-15  0.956E-07  0.835E-07
   2.54173  0.126E-04 -0.195E-11  0.652E-01  0.935      0.374E-11 -0.330     -0.770E-16  0.947E-07  0.818E-07
   2.56124  0.123E-04 -0.194E-11  0.841E-01  0.916      0.374E-11 -0.348     -0.415E-16  0.939E-07  0.803E-07
   2.58064  0.121E-04 -0.199E-11  0.107      0.893      0.374E-11 -0.365     -0.654E-17  0.932E-07  0.789E-07
   2.59995  0.118E-04 -0.198E-11  0.133      0.867      0.374E-11 -0.383      0.264E-16  0.925E-07  0.777E-07
   2.61916  0.116E-04 -0.196E-11  0.164      0.836      0.374E-11 -0.399      0.564E-16  0.917E-07  0.766E-07
   2.63831  0.114E-04 -0.198E-11  0.199      0.801      0.373E-11 -0.415      0.819E-16  0.910E-07  0.754E-07
   2.65740  0.112E-04 -0.197E-11  0.239      0.761      0.372E-11 -0.431      0.101E-15  0.902E-07  0.740E-07
   2.67646  0.110E-04 -0.199E-11  0.283      0.717      0.369E-11 -0.446      0.111E-15  0.893E-07  0.723E-07
   2.69549  0.109E-04 -0.196E-11  0.331      0.669      0.365E-11 -0.460      0.110E-15  0.885E-07  0.706E-07
   2.71452  0.107E-04 -0.192E-11  0.383      0.617      0.361E-11 -0.474      0.962E-16  0.877E-07  0.690E-07
   2.73357  0.106E-04 -0.189E-11  0.438      0.562      0.357E-11 -0.487      0.717E-16  0.870E-07  0.677E-07
   2.75267  0.105E-04 -0.178E-11  0.496      0.504      0.353E-11 -0.500      0.381E-16  0.863E-07  0.668E-07
   2.77183  0.104E-04 -0.173E-11  0.555      0.445      0.348E-11 -0.512     -0.182E-17  0.857E-07  0.661E-07
      a          H  rho/3H^2 -1   P_f/E_f    K_f/E_f    G_f/E_f            mean_fields            rms_fields
   2.35965  0.157E-04 -0.162E-11  0.179E-02  0.998      0.357E-11 -0.150     -0.168E-15  0.103E-06  0.102E-06
   2.38054  0.153E-04 -0.168E-11  0.323E-02  0.997      0.360E-11 -0.171     -0.176E-15  0.102E-06  0.995E-07
   2.40126  0.149E-04 -0.173E-11  0.542E-02  0.995      0.362E-11 -0.192     -0.184E-15  0.101E-06  0.972E-07
   2.42179  0.145E-04 -0.176E-11  0.859E-02  0.991      0.363E-11 -0.213     -0.188E-15  0.999E-07  0.947E-07
   2.44216  0.141E-04 -0.184E-11  0.130E-01  0.987      0.365E-11 -0.234     -0.188E-15  0.990E-07  0.922E-07
   2.46237  0.138E-04 -0.188E-11  0.190E-01  0.981      0.367E-11 -0.254     -0.181E-15  0.981E-07  0.897E-07
   2.48242  0.135E-04 -0.192E-11  0.268E-01  0.973      0.369E-11 -0.273     -0.165E-15  0.973E-07  0.875E-07
   2.50233  0.132E-04 -0.193E-11  0.369E-01  0.963      0.371E-11 -0.293     -0.141E-15  0.964E-07  0.854E-07
   2.52209  0.129E-04 -0.196E-11  0.496E-01  0.950      0.373E-11 -0.311     -0.111E-15  0.956E-07  0.835E-07
   2.54173  0.126E-04 -0.195E-11  0.652E-01  0.935      0.374E-11 -0.330     -0.770E-16  0.947E-07  0.818E-07
   2.56124  0.123E-04 -0.194E-11  0.841E-01  0.916      0.374E-11 -0.348     -0.415E-16  0.939E-07  0.803E-07
   2.58064  0.121E-04 -0.199E-11  0.107      0.893      0.374E-11 -0.365     -0.654E-17  0.932E-07  0.789E-07
   2.59995  0.118E-04 -0.198E-11  0.133      0.867      0.374E-11 -0.383      0.264E-16  0.925E-07  0.777E-07
   2.61916  0.116E-04 -0.196E-11  0.164      0.836      0.374E-11 -0.399      0.564E-16  0.917E-07  0.766E-07
   2.63831  0.114E-04 -0.198E-11  0.199      0.801      0.373E-11 -0.415      0.819E-16  0.910E-07  0.754E-07
   2.65740  0.112E-04 -0.197E-11  0.239      0.761      0.372E-11 -0.431      0.101E-15  0.902E-07  0.740E-07
   2.67646  0.110E-04 -0.199E-11  0.283      0.717      0.369E-11 -0.446      0.111E-15  0.893E-07  0.723E-07
   2.69549  0.109E-04 -0.196E-11  0.331      0.669      0.365E-11 -0.460      0.110E-15  0.885E-07  0.706E-07
   2.71452  0.107E-04 -0.192E-11  0.383      0.617      0.361E-11 -0.474      0.962E-16  0.877E-07  0.690E-07
   2.73357  0.106E-04 -0.189E-11  0.438      0.562      0.357E-11 -0.487      0.717E-16  0.870E-07  0.677E-07
